"Id","Cluster","TargetType","Domain","TargetUrl","DR_Est","Cost","RatPDF_Page","Anchor_Text","Pitch","Contact","Priority","Status"
"449","OCR","Resource page","york.ac.uk","https://www.york.ac.uk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@york.ac.uk OR library@york.ac.uk","P1","Not started"
"450","OCR","Resource page","york.ac.uk","https://www.york.ac.uk/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@york.ac.uk OR library@york.ac.uk","P1","Not started"
"451","Compress PDF","Resource page","mcgill.ca","https://www.mcgill.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@mcgill.ca OR library@mcgill.ca","P1","Not started"
"452","Compress PDF","Resource page","mcgill.ca","https://www.mcgill.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@mcgill.ca OR library@mcgill.ca","P1","Not started"
"453","PDF to Text","Resource page","mcgill.ca","https://www.mcgill.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@mcgill.ca OR library@mcgill.ca","P1","Not started"
"454","PDF to Text","Resource page","mcgill.ca","https://www.mcgill.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@mcgill.ca OR library@mcgill.ca","P1","Not started"
"455","OCR","Resource page","mcgill.ca","https://www.mcgill.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@mcgill.ca OR library@mcgill.ca","P1","Not started"
"456","OCR","Resource page","mcgill.ca","https://www.mcgill.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@mcgill.ca OR library@mcgill.ca","P1","Not started"
"457","Compress PDF","Resource page","ualberta.ca","https://www.ualberta.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@ualberta.ca OR library@ualberta.ca","P1","Not started"
"458","Compress PDF","Resource page","ualberta.ca","https://www.ualberta.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@ualberta.ca OR library@ualberta.ca","P1","Not started"
"459","PDF to Text","Resource page","ualberta.ca","https://www.ualberta.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@ualberta.ca OR library@ualberta.ca","P1","Not started"
"460","PDF to Text","Resource page","ualberta.ca","https://www.ualberta.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@ualberta.ca OR library@ualberta.ca","P1","Not started"
"461","OCR","Resource page","ualberta.ca","https://www.ualberta.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@ualberta.ca OR library@ualberta.ca","P1","Not started"
"462","OCR","Resource page","ualberta.ca","https://www.ualberta.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@ualberta.ca OR library@ualberta.ca","P1","Not started"
"463","Compress PDF","Resource page","uwaterloo.ca","https://www.uwaterloo.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@uwaterloo.ca OR library@uwaterloo.ca","P1","Not started"
"464","Compress PDF","Resource page","uwaterloo.ca","https://www.uwaterloo.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@uwaterloo.ca OR library@uwaterloo.ca","P1","Not started"
"465","PDF to Text","Resource page","uwaterloo.ca","https://www.uwaterloo.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@uwaterloo.ca OR library@uwaterloo.ca","P1","Not started"
"466","PDF to Text","Resource page","uwaterloo.ca","https://www.uwaterloo.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@uwaterloo.ca OR library@uwaterloo.ca","P1","Not started"
"467","OCR","Resource page","uwaterloo.ca","https://www.uwaterloo.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@uwaterloo.ca OR library@uwaterloo.ca","P1","Not started"
"468","OCR","Resource page","uwaterloo.ca","https://www.uwaterloo.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@uwaterloo.ca OR library@uwaterloo.ca","P1","Not started"
"469","Compress PDF","Resource page","sfu.ca","https://www.sfu.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@sfu.ca OR library@sfu.ca","P1","Not started"
"470","Compress PDF","Resource page","sfu.ca","https://www.sfu.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@sfu.ca OR library@sfu.ca","P1","Not started"
"471","PDF to Text","Resource page","sfu.ca","https://www.sfu.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@sfu.ca OR library@sfu.ca","P1","Not started"
"472","PDF to Text","Resource page","sfu.ca","https://www.sfu.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@sfu.ca OR library@sfu.ca","P1","Not started"
"473","OCR","Resource page","sfu.ca","https://www.sfu.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@sfu.ca OR library@sfu.ca","P1","Not started"
"474","OCR","Resource page","sfu.ca","https://www.sfu.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@sfu.ca OR library@sfu.ca","P1","Not started"
"475","Compress PDF","Resource page","uvic.ca","https://www.uvic.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@uvic.ca OR library@uvic.ca","P1","Not started"
"476","Compress PDF","Resource page","uvic.ca","https://www.uvic.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@uvic.ca OR library@uvic.ca","P1","Not started"
"477","PDF to Text","Resource page","uvic.ca","https://www.uvic.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@uvic.ca OR library@uvic.ca","P1","Not started"
"478","PDF to Text","Resource page","uvic.ca","https://www.uvic.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@uvic.ca OR library@uvic.ca","P1","Not started"
"479","OCR","Resource page","uvic.ca","https://www.uvic.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@uvic.ca OR library@uvic.ca","P1","Not started"
"480","OCR","Resource page","uvic.ca","https://www.uvic.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@uvic.ca OR library@uvic.ca","P1","Not started"
"481","Compress PDF","Resource page","queensu.ca","https://www.queensu.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@queensu.ca OR library@queensu.ca","P1","Not started"
"482","Compress PDF","Resource page","queensu.ca","https://www.queensu.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@queensu.ca OR library@queensu.ca","P1","Not started"
"483","PDF to Text","Resource page","queensu.ca","https://www.queensu.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@queensu.ca OR library@queensu.ca","P1","Not started"
"484","PDF to Text","Resource page","queensu.ca","https://www.queensu.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@queensu.ca OR library@queensu.ca","P1","Not started"
"485","OCR","Resource page","queensu.ca","https://www.queensu.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@queensu.ca OR library@queensu.ca","P1","Not started"
"486","OCR","Resource page","queensu.ca","https://www.queensu.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@queensu.ca OR library@queensu.ca","P1","Not started"
"487","Compress PDF","Resource page","yorku.ca","https://www.yorku.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@yorku.ca OR library@yorku.ca","P1","Not started"
"488","Compress PDF","Resource page","yorku.ca","https://www.yorku.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@yorku.ca OR library@yorku.ca","P1","Not started"
"489","PDF to Text","Resource page","yorku.ca","https://www.yorku.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@yorku.ca OR library@yorku.ca","P1","Not started"
"490","PDF to Text","Resource page","yorku.ca","https://www.yorku.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@yorku.ca OR library@yorku.ca","P1","Not started"
"491","OCR","Resource page","yorku.ca","https://www.yorku.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@yorku.ca OR library@yorku.ca","P1","Not started"
"492","OCR","Resource page","yorku.ca","https://www.yorku.ca/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@yorku.ca OR library@yorku.ca","P1","Not started"
"493","Compress PDF","Resource page","unsw.edu.au","https://www.unsw.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@unsw.edu.au OR library@unsw.edu.au","P1","Not started"
"494","Compress PDF","Resource page","unsw.edu.au","https://www.unsw.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@unsw.edu.au OR library@unsw.edu.au","P1","Not started"
"495","PDF to Text","Resource page","unsw.edu.au","https://www.unsw.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@unsw.edu.au OR library@unsw.edu.au","P1","Not started"
"496","PDF to Text","Resource page","unsw.edu.au","https://www.unsw.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@unsw.edu.au OR library@unsw.edu.au","P1","Not started"
"497","OCR","Resource page","unsw.edu.au","https://www.unsw.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@unsw.edu.au OR library@unsw.edu.au","P1","Not started"
"498","OCR","Resource page","unsw.edu.au","https://www.unsw.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@unsw.edu.au OR library@unsw.edu.au","P1","Not started"
"499","Compress PDF","Resource page","anu.edu.au","https://www.anu.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@anu.edu.au OR library@anu.edu.au","P1","Not started"
"500","Compress PDF","Resource page","anu.edu.au","https://www.anu.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@anu.edu.au OR library@anu.edu.au","P1","Not started"
"501","PDF to Text","Resource page","anu.edu.au","https://www.anu.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@anu.edu.au OR library@anu.edu.au","P1","Not started"
"502","PDF to Text","Resource page","anu.edu.au","https://www.anu.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@anu.edu.au OR library@anu.edu.au","P1","Not started"
"503","OCR","Resource page","anu.edu.au","https://www.anu.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@anu.edu.au OR library@anu.edu.au","P1","Not started"
"504","OCR","Resource page","anu.edu.au","https://www.anu.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@anu.edu.au OR library@anu.edu.au","P1","Not started"
"505","Compress PDF","Resource page","monash.edu","https://www.monash.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@monash.edu OR library@monash.edu","P1","Not started"
"506","Compress PDF","Resource page","monash.edu","https://www.monash.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@monash.edu OR library@monash.edu","P1","Not started"
"507","PDF to Text","Resource page","monash.edu","https://www.monash.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@monash.edu OR library@monash.edu","P1","Not started"
"508","PDF to Text","Resource page","monash.edu","https://www.monash.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@monash.edu OR library@monash.edu","P1","Not started"
"509","OCR","Resource page","monash.edu","https://www.monash.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@monash.edu OR library@monash.edu","P1","Not started"
"510","OCR","Resource page","monash.edu","https://www.monash.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@monash.edu OR library@monash.edu","P1","Not started"
"511","Compress PDF","Resource page","uq.edu.au","https://www.uq.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@uq.edu.au OR library@uq.edu.au","P1","Not started"
"512","Compress PDF","Resource page","uq.edu.au","https://www.uq.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@uq.edu.au OR library@uq.edu.au","P1","Not started"
"513","PDF to Text","Resource page","uq.edu.au","https://www.uq.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@uq.edu.au OR library@uq.edu.au","P1","Not started"
"514","PDF to Text","Resource page","uq.edu.au","https://www.uq.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@uq.edu.au OR library@uq.edu.au","P1","Not started"
"515","OCR","Resource page","uq.edu.au","https://www.uq.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@uq.edu.au OR library@uq.edu.au","P1","Not started"
"516","OCR","Resource page","uq.edu.au","https://www.uq.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@uq.edu.au OR library@uq.edu.au","P1","Not started"
"517","Compress PDF","Resource page","adelaide.edu.au","https://www.adelaide.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@adelaide.edu.au OR library@adelaide.edu.au","P1","Not started"
"518","Compress PDF","Resource page","adelaide.edu.au","https://www.adelaide.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@adelaide.edu.au OR library@adelaide.edu.au","P1","Not started"
"519","PDF to Text","Resource page","adelaide.edu.au","https://www.adelaide.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@adelaide.edu.au OR library@adelaide.edu.au","P1","Not started"
"520","PDF to Text","Resource page","adelaide.edu.au","https://www.adelaide.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@adelaide.edu.au OR library@adelaide.edu.au","P1","Not started"
"521","OCR","Resource page","adelaide.edu.au","https://www.adelaide.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@adelaide.edu.au OR library@adelaide.edu.au","P1","Not started"
"522","OCR","Resource page","adelaide.edu.au","https://www.adelaide.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@adelaide.edu.au OR library@adelaide.edu.au","P1","Not started"
"523","Compress PDF","Resource page","curtin.edu.au","https://www.curtin.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@curtin.edu.au OR library@curtin.edu.au","P1","Not started"
"524","Compress PDF","Resource page","curtin.edu.au","https://www.curtin.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@curtin.edu.au OR library@curtin.edu.au","P1","Not started"
"525","PDF to Text","Resource page","curtin.edu.au","https://www.curtin.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@curtin.edu.au OR library@curtin.edu.au","P1","Not started"
"526","PDF to Text","Resource page","curtin.edu.au","https://www.curtin.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@curtin.edu.au OR library@curtin.edu.au","P1","Not started"
"527","OCR","Resource page","curtin.edu.au","https://www.curtin.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@curtin.edu.au OR library@curtin.edu.au","P1","Not started"
"528","OCR","Resource page","curtin.edu.au","https://www.curtin.edu.au/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@curtin.edu.au OR library@curtin.edu.au","P1","Not started"
"529","Compress PDF","Resource page","tcd.ie","https://www.tcd.ie/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@tcd.ie OR library@tcd.ie","P1","Not started"
"530","Compress PDF","Resource page","tcd.ie","https://www.tcd.ie/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@tcd.ie OR library@tcd.ie","P1","Not started"
"531","PDF to Text","Resource page","tcd.ie","https://www.tcd.ie/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@tcd.ie OR library@tcd.ie","P1","Not started"
"532","PDF to Text","Resource page","tcd.ie","https://www.tcd.ie/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@tcd.ie OR library@tcd.ie","P1","Not started"
"533","OCR","Resource page","tcd.ie","https://www.tcd.ie/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@tcd.ie OR library@tcd.ie","P1","Not started"
"534","OCR","Resource page","tcd.ie","https://www.tcd.ie/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@tcd.ie OR library@tcd.ie","P1","Not started"
"535","Compress PDF","Resource page","ucd.ie","https://www.ucd.ie/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@ucd.ie OR library@ucd.ie","P1","Not started"
"536","Compress PDF","Resource page","ucd.ie","https://www.ucd.ie/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@ucd.ie OR library@ucd.ie","P1","Not started"
"537","PDF to Text","Resource page","ucd.ie","https://www.ucd.ie/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@ucd.ie OR library@ucd.ie","P1","Not started"
"538","PDF to Text","Resource page","ucd.ie","https://www.ucd.ie/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@ucd.ie OR library@ucd.ie","P1","Not started"
"539","OCR","Resource page","ucd.ie","https://www.ucd.ie/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@ucd.ie OR library@ucd.ie","P1","Not started"
"540","OCR","Resource page","ucd.ie","https://www.ucd.ie/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@ucd.ie OR library@ucd.ie","P1","Not started"
"541","Compress PDF","Resource page","dcu.ie","https://www.dcu.ie/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@dcu.ie OR library@dcu.ie","P1","Not started"
"542","Compress PDF","Resource page","dcu.ie","https://www.dcu.ie/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@dcu.ie OR library@dcu.ie","P1","Not started"
"543","PDF to Text","Resource page","dcu.ie","https://www.dcu.ie/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@dcu.ie OR library@dcu.ie","P1","Not started"
"544","PDF to Text","Resource page","dcu.ie","https://www.dcu.ie/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@dcu.ie OR library@dcu.ie","P1","Not started"
"545","OCR","Resource page","dcu.ie","https://www.dcu.ie/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@dcu.ie OR library@dcu.ie","P1","Not started"
"546","OCR","Resource page","dcu.ie","https://www.dcu.ie/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@dcu.ie OR library@dcu.ie","P1","Not started"
"547","Compress PDF","Resource page","nuigalway.ie","https://www.nuigalway.ie/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@nuigalway.ie OR library@nuigalway.ie","P1","Not started"
"548","Compress PDF","Resource page","nuigalway.ie","https://www.nuigalway.ie/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@nuigalway.ie OR library@nuigalway.ie","P1","Not started"
"549","PDF to Text","Resource page","nuigalway.ie","https://www.nuigalway.ie/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@nuigalway.ie OR library@nuigalway.ie","P1","Not started"
"550","PDF to Text","Resource page","nuigalway.ie","https://www.nuigalway.ie/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@nuigalway.ie OR library@nuigalway.ie","P1","Not started"
"551","OCR","Resource page","nuigalway.ie","https://www.nuigalway.ie/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@nuigalway.ie OR library@nuigalway.ie","P1","Not started"
"552","OCR","Resource page","nuigalway.ie","https://www.nuigalway.ie/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@nuigalway.ie OR library@nuigalway.ie","P1","Not started"
